Date,btc,eurusd,market_proxy,sp500,eurostoxx50
2015-01-01,314.2489929199219,1.2098628282546997,,,
2015-01-02,315.0320129394531,1.2089413404464722,58.8073616027832,2058.199951171875,
2015-01-03,281.0820007324219,,,,
2015-01-04,264.19500732421875,,,,
2015-01-05,274.4739990234375,1.194643259048462,57.4284782409668,2020.5799560546875,3023.139892578125
2015-01-06,286.1889953613281,1.193901538848877,56.6651725769043,2002.6099853515625,
2015-01-07,294.3370056152344,1.1875356435775757,57.23970413208008,2025.9000244140625,3026.7900390625
2015-01-08,283.3489990234375,1.1836000680923462,58.511878967285156,2062.139892578125,3135.080078125
2015-01-09,290.4079895019531,1.1796069145202637,57.953758239746094,2044.81005859375,3042.89990234375
2015-01-10,274.7959899902344,,,,
2015-01-11,265.6600036621094,,,,
2015-01-12,267.7959899902344,1.187070369720459,57.847076416015625,2028.260009765625,3084.179931640625
2015-01-13,225.86099243164062,1.1831519603729248,57.43669891357422,2023.030029296875,3133.860107421875
2015-01-14,178.10299682617188,1.1778285503387451,57.40386199951172,2011.27001953125,3089.669921875
2015-01-15,209.843994140625,1.1785920858383179,57.009891510009766,1992.6700439453125,3157.360107421875
2015-01-16,208.0970001220703,1.1637378931045532,57.77320098876953,2019.4200439453125,3202.239990234375
2015-01-17,199.25999450683594,,,,
2015-01-18,210.33900451660156,,,,
2015-01-19,214.86099243164062,1.1566041707992554,,,3220.89990234375
2015-01-20,211.31500244140625,1.1597968339920044,58.06867980957031,2022.550048828125,3244.919921875
2015-01-21,226.89700317382812,1.1546944379806519,57.961978912353516,2032.1199951171875,3269.72998046875
2015-01-22,233.406005859375,1.1615345478057861,58.68424606323242,2063.14990234375,3322.64990234375
2015-01-23,232.87899780273438,1.1346745491027832,58.30668640136719,2051.820068359375,3382.550048828125
2015-01-24,247.8470001220703,,,,
2015-01-25,253.71800231933594,,,,
2015-01-26,273.4729919433594,1.1125450134277344,59.03717803955078,2057.090087890625,3414.280029296875
2015-01-27,263.4750061035156,1.1247708797454834,58.864810943603516,2029.550048828125,3372.580078125
2015-01-28,233.9149932861328,1.1367381811141968,58.04405212402344,2002.1600341796875,3358.9599609375
2015-01-29,233.51300048828125,1.1281461715698242,57.904502868652344,2021.25,3371.830078125
2015-01-30,226.4250030517578,1.13355553150177,57.346397399902344,1994.989990234375,3351.43994140625
2015-01-31,217.46400451660156,,,,
2015-02-01,226.9720001220703,,,,
2015-02-02,238.22900390625,1.1309019327163696,58.35594177246094,2020.8499755859375,3370.110107421875
2015-02-03,227.26800537109375,1.1341726779937744,58.840187072753906,2050.030029296875,3414.179931640625
2015-02-04,226.85299682617188,1.145737886428833,58.454429626464844,2041.510009765625,3415.530029296875
2015-02-05,217.11099243164062,1.131874680519104,59.10283279418945,2062.52001953125,3408.9599609375
2015-02-06,222.26600646972656,1.147196888923645,58.9468879699707,2055.469970703125,3398.159912109375
2015-02-07,227.75399780273438,,,,
2015-02-08,223.41200256347656,,,,
2015-02-09,220.11000061035156,1.1314393281936646,58.52009963989258,2046.739990234375,3347.75
2015-02-10,219.83900451660156,1.1326953172683716,59.086402893066406,2068.590087890625,3383.1298828125
